Perm_Makro,PKO (q0),PEKAO_HUB (q1),SAN (q2),ING (q3),MBK (q4),AUC ROC,Accuracy,F1-Score
"(4, 1, 3, 0, 2)",PKO + zmiennosc,PEKAO + rentownosc_10y,SAN + wig20,ING + wibor_3m,MBK + eurpln,0.5242501546072974,0.5264187866927593,0.6388059701492538
"(2, 4, 1, 0, 3)",PKO + eurpln,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + wibor_3m,MBK + wig20,0.5237940630797774,0.5303326810176126,0.6352583586626139
"(4, 3, 0, 1, 2)",PKO + zmiennosc,PEKAO + wig20,SAN + wibor_3m,ING + rentownosc_10y,MBK + eurpln,0.5230287569573284,0.5342465753424658,0.6657303370786517
"(3, 4, 1, 2, 0)",PKO + wig20,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + eurpln,MBK + wibor_3m,0.523013296227582,0.5459882583170255,0.6598240469208211
"(4, 2, 0, 3, 1)",PKO + zmiennosc,PEKAO + eurpln,SAN + wibor_3m,ING + wig20,MBK + rentownosc_10y,0.5229591836734694,0.50293542074364,0.6392045454545454
"(1, 4, 0, 3, 2)",PKO + rentownosc_10y,PEKAO + zmiennosc,SAN + wibor_3m,ING + wig20,MBK + eurpln,0.5228354978354979,0.5440313111545988,0.6647482014388489
"(0, 2, 4, 3, 1)",PKO + wibor_3m,PEKAO + eurpln,SAN + zmiennosc,ING + wig20,MBK + rentownosc_10y,0.5224953617810761,0.5166340508806262,0.6456241032998565
"(0, 2, 4, 1, 3)",PKO + wibor_3m,PEKAO + eurpln,SAN + zmiennosc,ING + rentownosc_10y,MBK + wig20,0.5222711811997526,0.5205479452054794,0.6464646464646465
"(0, 1, 2, 3, 4)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + eurpln,ING + wig20,MBK + zmiennosc,0.5216836734693877,0.5048923679060665,0.6206896551724138
"(3, 0, 1, 4, 2)",PKO + wig20,PEKAO + wibor_3m,SAN + rentownosc_10y,ING + zmiennosc,MBK + eurpln,0.5214285714285714,0.5068493150684932,0.631578947368421
"(4, 1, 3, 2, 0)",PKO + zmiennosc,PEKAO + rentownosc_10y,SAN + wig20,ING + eurpln,MBK + wibor_3m,0.5212816944959802,0.5205479452054794,0.6282245827010622
"(2, 1, 0, 3, 4)",PKO + eurpln,PEKAO + rentownosc_10y,SAN + wibor_3m,ING + wig20,MBK + zmiennosc,0.5209492888064317,0.5225048923679061,0.6314199395770392
"(4, 1, 0, 2, 3)",PKO + zmiennosc,PEKAO + rentownosc_10y,SAN + wibor_3m,ING + eurpln,MBK + wig20,0.5206864564007421,0.49902152641878667,0.6201780415430267
"(1, 3, 0, 2, 4)",PKO + rentownosc_10y,PEKAO + wig20,SAN + wibor_3m,ING + eurpln,MBK + zmiennosc,0.5206864564007421,0.5322896281800391,0.6427503736920778
"(0, 2, 1, 4, 3)",PKO + wibor_3m,PEKAO + eurpln,SAN + rentownosc_10y,ING + zmiennosc,MBK + wig20,0.5205395794681508,0.5440313111545988,0.6647482014388489
"(2, 3, 0, 1, 4)",PKO + eurpln,PEKAO + wig20,SAN + wibor_3m,ING + rentownosc_10y,MBK + zmiennosc,0.5205318491032777,0.5322896281800391,0.6395173453996983
"(0, 3, 4, 2, 1)",PKO + wibor_3m,PEKAO + wig20,SAN + zmiennosc,ING + eurpln,MBK + rentownosc_10y,0.5203153988868274,0.5107632093933464,0.6397694524495677
