Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-12-04,1347.6678023195766,1347.6678023195766,1347.6678023195766,1347.6678023195766,0
2024-12-05,1382.2396460793866,1382.2396460793866,1382.2396460793866,1382.2396460793866,0
2024-12-06,1395.501974360742,1395.501974360742,1395.501974360742,1395.501974360742,0
2024-12-09,1397.907943115965,1397.907943115965,1397.907943115965,1397.907943115965,0
2024-12-10,1407.5720175815657,1407.5720175815657,1407.5720175815657,1407.5720175815657,0
2024-12-11,1398.9019350613135,1398.9019350613135,1398.9019350613135,1398.9019350613135,0
2024-12-12,1401.328017734546,1401.328017734546,1401.328017734546,1401.328017734546,0
2024-12-13,1395.94401695051,1395.94401695051,1395.94401695051,1395.94401695051,0
2024-12-16,1394.6511099175198,1394.6511099175198,1394.6511099175198,1394.6511099175198,0
2024-12-17,1338.4309531970946,1338.4309531970946,1338.4309531970946,1338.4309531970946,0
2024-12-18,1354.810034768074,1354.810034768074,1354.810034768074,1354.810034768074,0
2024-12-19,1355.7992295899185,1355.7992295899185,1355.7992295899185,1355.7992295899185,0
2024-12-20,1352.4771024710321,1352.4771024710321,1352.4771024710321,1352.4771024710321,0
2024-12-23,1338.4156913478844,1338.4156913478844,1338.4156913478844,1338.4156913478844,0
2024-12-27,1335.6115472504107,1335.6115472504107,1335.6115472504107,1335.6115472504107,0
2024-12-30,1335.4155747567838,1335.4155747567838,1335.4155747567838,1335.4155747567838,0
2025-01-02,1336.4478071321057,1336.4478071321057,1336.4478071321057,1336.4478071321057,0
2025-01-03,1357.6008203472616,1357.6008203472616,1357.6008203472616,1357.6008203472616,0
2025-01-07,1385.0239501532349,1385.0239501532349,1385.0239501532349,1385.0239501532349,0
2025-01-08,1380.198920631836,1380.198920631836,1380.198920631836,1380.198920631836,0
2025-01-09,1390.392618814831,1390.392618814831,1390.392618814831,1390.392618814831,0
2025-01-10,1401.7663291699926,1401.7663291699926,1401.7663291699926,1401.7663291699926,0
2025-01-13,1382.0614280931352,1382.0614280931352,1382.0614280931352,1382.0614280931352,0
2025-01-14,1403.7172280629152,1403.7172280629152,1403.7172280629152,1403.7172280629152,0
2025-01-15,1423.3501250231943,1423.3501250231943,1423.3501250231943,1423.3501250231943,0
2025-01-16,1406.291129490206,1406.291129490206,1406.291129490206,1406.291129490206,0
2025-01-17,1412.554382421348,1412.554382421348,1412.554382421348,1412.554382421348,0
2025-01-20,1440.6187821715027,1440.6187821715027,1440.6187821715027,1440.6187821715027,0
2025-01-21,1444.1788580656548,1444.1788580656548,1444.1788580656548,1444.1788580656548,0
2025-01-22,1471.063294506555,1471.063294506555,1471.063294506555,1471.063294506555,0
2025-01-23,1477.7769559661015,1477.7769559661015,1477.7769559661015,1477.7769559661015,0
2025-01-24,1489.246565880392,1489.246565880392,1489.246565880392,1489.246565880392,0
2025-01-27,1485.4848998243003,1485.4848998243003,1485.4848998243003,1485.4848998243003,0
2025-01-28,1506.6035645763438,1506.6035645763438,1506.6035645763438,1506.6035645763438,0
2025-01-29,1513.2490474205426,1513.2490474205426,1513.2490474205426,1513.2490474205426,0
2025-01-30,1545.570453198902,1545.570453198902,1545.570453198902,1545.570453198902,0
2025-01-31,1534.0009455109134,1534.0009455109134,1534.0009455109134,1534.0009455109134,0
2025-02-03,1505.6375380292102,1505.6375380292102,1505.6375380292102,1505.6375380292102,0
2025-02-04,1519.5680858580897,1519.5680858580897,1519.5680858580897,1519.5680858580897,0
2025-02-05,1513.7658175907914,1513.7658175907914,1513.7658175907914,1513.7658175907914,0
2025-02-06,1594.877083786575,1594.877083786575,1594.877083786575,1594.877083786575,0
2025-02-07,1612.8905691188402,1612.8905691188402,1612.8905691188402,1612.8905691188402,0
2025-02-10,1612.8687500448,1612.8687500448,1612.8687500448,1612.8687500448,0
2025-02-11,1653.6887573679564,1653.6887573679564,1653.6887573679564,1653.6887573679564,0
2025-02-12,1689.304862454621,1689.304862454621,1689.304862454621,1689.304862454621,0
