Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-03-25,0.923049,0.945416,0.923049,0.945416
2014-03-26,0.949831,0.949831,0.945416,0.945416
2014-03-27,0.945416,0.949831,0.936477,0.936477
2014-03-28,0.945416,0.95877,0.940947,0.95877
2014-03-31,0.95877,0.981064,0.954301,0.976658
2014-04-01,0.976658,0.981064,0.967646,0.976658
2014-04-02,0.981064,0.994473,0.972115,0.994473
2014-04-03,0.990013,0.990013,0.967646,0.972115
2014-04-04,0.972115,0.990013,0.972115,0.990013
2014-04-07,0.972115,0.985525,0.967646,0.985525
2014-04-08,0.985525,0.985525,0.972115,0.985525
2014-04-09,0.990013,0.990013,0.972115,0.976658
2014-04-10,0.981064,0.990013,0.976658,0.990013
2014-04-11,0.976658,0.985525,0.976658,0.985525
2014-04-14,0.981064,0.985525,0.972115,0.976658
2014-04-15,0.972115,0.972115,0.954301,0.954301
2014-04-16,0.96324,0.96324,0.945416,0.949831
2014-04-17,0.954301,0.96324,0.949831,0.96324
2014-04-22,0.954301,0.972115,0.954301,0.972115
2014-04-23,0.976658,0.976658,0.96324,0.972115
2014-04-24,0.972115,0.976658,0.95877,0.96324
2014-04-25,0.949831,0.96324,0.940947,0.96324
2014-04-28,0.940947,0.95877,0.940947,0.949831
2014-04-29,0.954301,0.976658,0.954301,0.976658
2014-04-30,0.976658,0.976658,0.954301,0.96324
2014-05-02,0.96324,0.972115,0.95877,0.96324
2014-05-05,0.967646,0.967646,0.940947,0.945416
2014-05-06,0.945416,0.949831,0.918644,0.923049
2014-05-07,0.923049,0.936477,0.909704,0.923049
2014-05-08,0.927519,0.940947,0.918644,0.940947
2014-05-09,0.936477,0.940947,0.936477,0.940947
2014-05-12,0.931989,0.931989,0.905229,0.909704
2014-05-13,0.914169,0.923049,0.905229,0.909704
2014-05-14,0.914169,0.914169,0.887342,0.887342
2014-05-15,0.887342,0.891948,0.87846,0.882935
2014-05-16,0.887342,0.887342,0.865113,0.869587
2014-05-19,0.874061,0.874061,0.865113,0.869587
2014-05-20,0.874061,0.874061,0.869587,0.874061
2014-05-21,0.874061,0.87846,0.869587,0.874061
2014-05-22,0.882935,0.891948,0.87846,0.887342
2014-05-23,0.891948,0.900822,0.891948,0.89629
2014-05-26,0.89629,0.905229,0.89629,0.905229
2014-05-27,0.905229,0.909704,0.905229,0.909704
2014-05-28,0.909704,0.914169,0.900822,0.905229
2014-05-29,0.905229,0.909704,0.900822,0.909704
2014-05-30,0.914169,0.914169,0.89629,0.89629
2014-06-02,0.89629,0.900822,0.887342,0.891948
2014-06-03,0.89629,0.89629,0.887342,0.891948
2014-06-04,0.891948,0.905229,0.891948,0.905229
2014-06-05,0.909704,0.918644,0.909704,0.918644
2014-06-06,0.918644,0.923049,0.914169,0.918644
2014-06-09,0.918644,0.936477,0.918644,0.923049
2014-06-10,0.931989,0.931989,0.931989,0.931989
2014-06-11,0.931989,0.936477,0.927519,0.931989
2014-06-12,0.927519,0.931989,0.923049,0.927519
2014-06-13,0.927519,0.931989,0.923049,0.927519
2014-06-16,0.926594,0.93601,0.921914,0.93601
2014-06-17,0.93601,0.945416,0.931329,0.93601
